ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
481608,1996,9,9,9,9,9,9,9,9,9,9
481609,1996,14,0,14,7,11,34,0,0,21,0
481610,1996,11,11,11,11,11,11,11,11,11,11
481611,1996,35,35,35,35,35,35,35,35,35,35
481612,1996,15,15,15,15,15,15,15,15,15,15
481613,1996,21,0,17,0,10,14,0,18,0,0
481614,1996,0,27,23,13,21,36,19,24,0,11
481615,1996,9,9,9,9,9,9,9,9,9,9
481616,1996,0,0,15,0,0,12,0,0,0,0
481617,1996,8,21,21,28,20,15,18,11,16,15
481618,1996,0,8,0,13,14,0,19,16,9,9
481619,1996,0,16,15,14,15,19,17,14,11,0
481620,1996,4,0,28,0,17,20,0,0,0,0
481621,1996,31,31,31,31,31,31,31,31,31,31
481622,1996,19,0,9,0,12,0,0,9,16,0
481623,1996,14,16,14,14,14,14,18,14,14,14
481624,1996,10,10,10,10,10,10,10,10,10,10
481625,1996,0,0,0,0,0,0,0,0,0,0
481626,1996,0,0,0,0,0,0,0,0,0,0
481627,1996,35,19,0,0,0,0,0,26,0,33
481628,1996,14,0,0,35,0,0,0,0,0,21
481629,1996,0,0,0,0,0,0,0,0,0,0
