State,Measures,Year,Values
Nebraska,Licensed drivers,2008,1346406
Nevada,Licensed drivers,2008,1678550
New Hampshire,Licensed drivers,2008,1031158
New Jersey,Licensed drivers,2008,5782155
New Mexico,Licensed drivers,2008,1365249
New York,Licensed drivers,2008,11284545
North Carolina,Licensed drivers,2008,6457000
North Dakota,Licensed drivers,2008,473019
Ohio,Licensed drivers,2008,7962266
Oklahoma,Licensed drivers,2008,2301848
Oregon,Licensed drivers,2008,2856085
Pennsylvania,Licensed drivers,2008,8646273
Rhode Island,Licensed drivers,2008,748351
South Carolina,Licensed drivers,2008,3185408
South Dakota,Licensed drivers,2008,597326
Tennessee,Licensed drivers,2008,4450644
Texas,Licensed drivers,2008,15374063
Utah,Licensed drivers,2008,1687306
Vermont,Licensed drivers,2008,541990
Virginia,Licensed drivers,2008,5301182
Washington,Licensed drivers,2008,4953872
West Virginia,Licensed drivers,2008,1360926
Wisconsin,Licensed drivers,2008,4075764
Wyoming,Licensed drivers,2008,404489
Alabama,Licensed drivers,2007,3691762
Alaska,Licensed drivers,2007,495249
Arizona,Licensed drivers,2007,4153739
Arkansas,Licensed drivers,2007,2046039
California,Licensed drivers,2007,23467452
Colorado,Licensed drivers,2007,3502709
Connecticut,Licensed drivers,2007,2848602
Delaware,Licensed drivers,2007,624472
District of Columbia,Licensed drivers,2007,396193
Florida,Licensed drivers,2007,14138846
Georgia,Licensed drivers,2007,6134298
Hawaii,Licensed drivers,2007,862903
Idaho,Licensed drivers,2007,1027502
Illinois,Licensed drivers,2007,8190023
Indiana,Licensed drivers,2007,4308845
Iowa,Licensed drivers,2007,2093649
Kansas,Licensed drivers,2007,2018219
Kentucky,Licensed drivers,2007,2933266
Louisiana,Licensed drivers,2007,3033966
Maine,Licensed drivers,2007,1009780
Maryland,Licensed drivers,2007,3737847
Massachusetts,Licensed drivers,2007,4699301
Michigan,Licensed drivers,2007,7058955
Minnesota,Licensed drivers,2007,3149109
Mississippi,Licensed drivers,2007,1926969
Missouri,Licensed drivers,2007,4161957
Montana,Licensed drivers,2007,735753
Nebraska,Licensed drivers,2007,1330698
Nevada,Licensed drivers,2007,1661588
New Hampshire,Licensed drivers,2007,1026546
New Jersey,Licensed drivers,2007,5782155
New Mexico,Licensed drivers,2007,1365249
New York,Licensed drivers,2007,11369280
North Carolina,Licensed drivers,2007,6383542
North Dakota,Licensed drivers,2007,470731
Ohio,Licensed drivers,2007,7975774
Oklahoma,Licensed drivers,2007,2283178
Oregon,Licensed drivers,2007,2827188
Pennsylvania,Licensed drivers,2007,8600691
Rhode Island,Licensed drivers,2007,743793
South Carolina,Licensed drivers,2007,3126890
South Dakota,Licensed drivers,2007,588546
Tennessee,Licensed drivers,2007,4425881
Texas,Licensed drivers,2007,15184123
Utah,Licensed drivers,2007,1651790
Vermont,Licensed drivers,2007,534495
Virginia,Licensed drivers,2007,5259512
Washington,Licensed drivers,2007,4879705
West Virginia,Licensed drivers,2007,1358529
Wisconsin,Licensed drivers,2007,4066273
Wyoming,Licensed drivers,2007,398283
Alabama,Licensed drivers,2006,3665180
Alaska,Licensed drivers,2006,489024
Arizona,Licensed drivers,2006,4032643
Arkansas,Licensed drivers,2006,2034975
California,Licensed drivers,2006,23021279
Colorado,Licensed drivers,2006,3341275
Connecticut,Licensed drivers,2006,2805124
Delaware,Licensed drivers,2006,619877
District of Columbia,Licensed drivers,2006,357569
Florida,Licensed drivers,2006,13988630
Georgia,Licensed drivers,2006,5906834
Hawaii,Licensed drivers,2006,867375
Idaho,Licensed drivers,2006,1008016
Illinois,Licensed drivers,2006,8071253
Indiana,Licensed drivers,2006,4246189
Iowa,Licensed drivers,2006,2040873
Kansas,Licensed drivers,2006,2003112
Kentucky,Licensed drivers,2006,2896460
Louisiana,Licensed drivers,2006,3014191
Maine,Licensed drivers,2006,1005160
Maryland,Licensed drivers,2006,3694290
Massachusetts,Licensed drivers,2006,4711735
Michigan,Licensed drivers,2006,7112992
Minnesota,Licensed drivers,2006,3086610
Mississippi,Licensed drivers,2006,1929636
